<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.03	10:15:00	2656.679	2657.501	2655.536	2656.219	1136	0	159
2025.01.03	10:30:00	2656.185	2656.518	2653.007	2655.246	1485	0	160
2025.01.03	10:45:00	2655.230	2657.975	2654.611	2657.617	1105	0	160
2025.01.03	11:00:00	2657.580	2658.760	2657.156	2657.849	1089	0	159
2025.01.03	11:15:00	2657.853	2659.258	2656.332	2656.885	1267	0	159
2025.01.03	11:30:00	2656.924	2658.422	2656.365	2658.259	1091	0	160
2025.01.03	11:45:00	2658.244	2658.656	2658.021	2658.361	62	0	160
2025.01.03	12:45:00	2657.003	2657.461	2655.216	2655.291	956	0	160
2025.01.03	13:00:00	2655.257	2656.298	2653.496	2655.438	2160	0	159
2025.01.03	13:15:00	2655.418	2656.425	2647.992	2649.526	3135	0	159
2025.01.03	13:30:00	2649.614	2651.211	2643.397	2645.670	3366	0	159
2025.01.03	13:45:00	2645.652	2651.489	2645.652	2649.804	2466	0	159
2025.01.03	14:00:00	2649.834	2650.326	2646.900	2647.321	2808	0	159
2025.01.03	14:15:00	2647.311	2649.445	2645.079	2649.175	2612	0	159
2025.01.03	14:30:00	2649.227	2652.672	2648.349	2650.710	3364	0	159
2025.01.03	14:45:00	2650.685	2650.685	2646.140	2647.827	3227	0	159
2025.01.03	15:00:00	2647.730	2648.315	2643.320	2645.843	4444	0	159
2025.01.03	15:15:00	2645.802	2646.151	2640.927	2642.335	4131	0	159
2025.01.03	15:30:00	2642.393	2646.172	2641.960	2645.077	2950	0	159
2025.01.03	15:45:00	2645.055	2645.831	2643.330	2643.842	2234	0	159
2025.01.03	16:00:00	2643.812	2647.264	2643.280	2643.549	2120	0	159
2025.01.03	16:15:00	2643.512	2643.512	2640.622	2641.294	2305	0	159
2025.01.03	16:30:00	2641.329	2643.541	2641.022	2642.330	2137	0	160
2025.01.03	16:45:00	2642.305	2642.305	2638.954	2639.968	1893	0	159
2025.01.03	17:00:00	2639.961	2642.617	2639.414	2641.394	1685	0	160
2025.01.03	17:15:00	2641.397	2642.338	2640.604	2641.778	1581	0	160
2025.01.03	17:30:00	2641.812	2642.163	2639.043	2640.872	1711	0	159
2025.01.03	17:45:00	2640.862	2642.315	2640.819	2641.763	1576	0	159
2025.01.03	18:00:00	2641.726	2642.222	2640.030	2640.328	1506	0	159
2025.01.03	18:15:00	2640.374	2641.261	2639.763	2641.241	1608	0	159
2025.01.03	18:30:00	2641.243	2642.361	2640.977	2641.462	1447	0	159
2025.01.03	18:45:00	2641.482	2642.079	2640.923	2641.827	1355	0	160
2025.01.03	19:00:00	2641.831	2642.996	2641.163	2641.976	1210	0	159
2025.01.03	19:15:00	2641.982	2642.210	2640.575	2641.317	991	0	159
2025.01.03	19:30:00	2641.295	2642.196	2640.897	2640.902	988	0	160
2025.01.03	19:45:00	2640.894	2641.320	2639.132	2639.430	1099	0	160
2025.01.03	20:00:00	2639.398	2640.094	2638.499	2639.273	1207	0	160
2025.01.03	20:15:00	2639.299	2639.678	2638.413	2639.250	969	0	159
2025.01.03	20:30:00	2639.241	2639.746	2637.196	2638.144	1130	0	159
2025.01.03	20:45:00	2638.179	2638.442	2636.881	2638.163	1248	0	160
2025.01.03	21:00:00	2638.196	2638.678	2637.206	2637.461	744	0	159
2025.01.03	21:15:00	2637.467	2637.740	2636.995	2637.619	592	0	160
2025.01.03	21:30:00	2637.608	2639.931	2636.623	2639.908	912	0	160
2025.01.03	21:45:00	2639.882	2640.740	2639.152	2640.370	1130	0	160
2025.01.05	23:00:00	2639.644	2641.086	2639.644	2641.019	604	0	159
2025.01.05	23:15:00	2641.020	2642.398	2640.770	2641.728	738	0	160
2025.01.05	23:30:00	2641.742	2642.236	2640.389	2642.013	768	0	160
2025.01.05	23:45:00	2642.058	2642.191	2640.487	2641.063	1123	0	160
2025.01.06	00:00:00	2641.098	2641.709	2638.958	2639.188	1122	0	160
2025.01.06	00:15:00	2639.208	2640.155	2638.596	2639.385	977	0	160
